Agca	Agcc	Agcg	Agct	Ctgc	Ctgt	Dgac	Dgat	Egaa	Egag	Fttc	Fttt	Ggga	Gggc	Gggg	Gggt	Hcac	Hcat	Iata	Iatc	Iatt	Kaaa	Kaag	Lcta	Lctc	Lctg	Lctt	Ltta	Lttg	Naac	Naat	Pcca	Pccc	Pccg	Pcct	Qcaa	Qcag	Raga	Ragg	Rcga	Rcgc	Rcgg	Rcgt	Sagc	Sagt	Stca	Stcc	Stcg	Stct	Taca	Tacc	Tacg	Tact	Vgta	Vgtc	Vgtg	Vgtt	Ytac	Ytat	Laa	aroma	gravy	mmw	gcc3	gtc3	Hgc3	Ew	P2	cai	start	end	direction	locus_tag	protein_id	gene	product	highlyExpressed	leading
7	16	5	5	1	0	7	12	30	9	9	17	2	7	1	6	2	5	4	21	5	20	17	0	14	21	5	0	3	13	14	2	9	6	3	3	17	1	2	2	9	6	6	4	2	6	8	8	4	3	15	4	3	4	10	7	8	7	4	454	0.0925	-0.3996	132.52	0.5850	0.4649	0.9790	0.8306	0.4636	0.6928	77	1444	direct	GSUB_RS00005	WP_040198527.1		chromosomal replication initiator protein DnaA	0	0
5	13	5	7	1	1	10	9	27	12	4	14	9	6	1	7	3	2	1	21	10	23	3	0	11	18	4	2	2	9	7	0	6	5	5	0	9	1	0	1	8	5	3	6	1	4	5	3	3	4	11	1	4	2	10	3	6	2	5	371	0.0701	-0.1728	129.48	0.5361	0.4306	0.9962	0.7740	0.4567	0.7018	1684	2802	direct	GSUB_RS00010	WP_040198529.1		DNA polymerase III subunit beta	0	0
4	10	10	9	2	2	13	9	16	8	6	11	6	6	6	8	3	6	3	8	7	12	5	1	3	27	8	1	8	6	6	0	4	8	4	4	17	0	0	1	11	7	16	3	3	2	4	3	3	2	8	1	2	0	3	4	5	5	6	359	0.0836	-0.4791	131.40	0.5590	0.5871	0.9899	0.8464	0.5041	0.6736	2874	3956	direct	GSUB_RS00015	WP_040198531.1		DNA replication and repair protein RecF	0	0
4	30	15	7	2	1	27	23	36	38	15	12	12	29	11	9	10	7	2	33	16	21	37	0	20	51	8	0	5	24	13	2	7	16	4	3	25	0	0	1	35	4	10	6	4	4	15	7	1	1	27	6	4	3	22	20	8	22	5	802	0.0698	-0.4212	130.55	0.7167	0.4705	0.8600	0.7806	0.4576	0.7852	3949	6360	direct	GSUB_RS00020	WP_052464238.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	0	0
5	35	17	8	2	0	31	31	36	33	15	6	4	36	12	13	10	6	0	58	17	12	38	1	22	43	4	0	8	17	10	1	13	13	2	2	20	0	2	3	44	8	10	7	3	3	14	11	1	2	24	8	4	5	23	30	7	12	6	836	0.0490	-0.2344	129.46	0.7500	0.4592	0.8113	0.7467	0.4470	0.7837	6427	8940	direct	GSUB_RS00025	WP_040198533.1		DNA gyrase subunit A	0	1
3	13	12	6	0	1	6	12	14	8	5	8	3	6	5	3	0	6	0	9	7	7	1	0	10	17	5	1	6	1	3	0	4	7	3	6	20	2	0	4	11	6	3	1	1	0	1	4	0	1	2	6	1	2	2	1	0	5	6	284	0.0951	-0.4306	132.77	0.6101	0.5704	0.9647	0.7845	0.3763	0.6534	8900	9757	direct	GSUB_RS00030	WP_040198535.1		hypothetical protein	0	1
4	17	10	6	1	1	7	8	9	13	4	4	5	12	10	7	0	3	3	6	9	6	4	3	9	22	3	0	2	10	1	1	3	7	2	0	9	0	1	1	7	7	4	6	3	2	8	1	1	3	13	3	3	2	6	11	7	4	4	332	0.0542	+0.1154	124.46	0.6698	0.5220	0.9151	0.7921	0.4300	0.6627	9776	10777	direct	GSUB_RS00035	WP_040198537.1	gpsA	NAD(P)-dependent glycerol-3-phosphate dehydrogenase	0	1
1	9	2	1	0	1	3	6	6	4	3	4	3	5	4	6	3	2	1	3	3	5	2	0	3	4	4	0	0	1	2	0	2	6	2	3	8	0	2	0	5	1	2	0	1	1	2	2	0	0	4	1	0	1	3	4	3	3	2	151	0.0795	-0.4834	127.37	0.5973	0.5302	0.9725	0.8102	0.3962	0.6985	10841	11299	direct	GSUB_RS00040	WP_040201815.1		peptidylprolyl isomerase	0	1
3	13	5	1	3	3	8	9	7	4	3	4	4	8	3	4	1	6	1	12	4	2	4	0	7	16	4	1	4	1	4	1	4	7	1	3	6	1	0	2	16	4	5	2	1	0	6	1	1	0	5	2	2	0	10	5	0	4	2	245	0.0612	-0.1261	129.88	0.6833	0.4667	0.9007	0.7656	0.3605	0.7121	11442	12182	direct	GSUB_RS00045	WP_040198539.1		hypothetical protein	0	1
5	9	8	2	5	6	4	10	6	2	2	5	4	1	7	3	4	7	1	2	6	7	3	1	3	12	4	0	2	4	7	0	7	8	1	4	7	3	4	1	9	6	6	2	0	5	2	1	2	2	4	2	2	1	4	12	7	1	2	256	0.0586	-0.3613	130.50	0.5547	0.5830	0.9914	0.8272	0.3134	0.6074	12115	12888	direct	GSUB_RS00050	WP_084211589.1		endonuclease III	0	1
