"locus_tag","Laa","AROMA","GRAVY","MMW","GC3","GT3","P2","SCU1","SCU2","SCU3","gene","product","highlyExpressed"
"GLOV_RS00005",458,0.0808,-0.2838,131.78,0.448,0.4796,0.4462,0.620236117766605,0.707183011772065,0.893061826326572,"","chromosomal replication initiator protein DnaA",0
"GLOV_RS00010",371,0.062,-0.1391,129.21,0.4234,0.5125,0.49,1.134182471832,1.10370229965592,1.30590661416149,"","DNA polymerase III subunit beta",0
"GLOV_RS00015",367,0.0763,-0.4139,131.91,0.4694,0.5778,0.4,1.69116164177538,1.55884681088916,1.57963519840571,"","DNA replication and repair protein RecF",0
"GLOV_RS00020",801,0.0712,-0.3524,129.55,0.6765,0.5083,0.4944,0.560056591185771,0.6699219940689,0.511824179449958,"","DNA topoisomerase (ATP-hydrolyzing) subunit B",0
"GLOV_RS00025",125,0.064,-0.4248,130.5,0.376,0.424,0.5333,3.60449890820072,3.31182831116115,3.44820319957654,"","hypothetical protein",0
"GLOV_RS00030",359,0.078,-0.5769,131.03,0.5959,0.439,0.5169,-0.0812425713723745,-0.415093263739314,-0.308345913656742,"","IS5 family transposase ISGlo5",0
"GLOV_RS00035",368,0.0707,-0.3103,130.93,0.5028,0.5,0.4118,0.479765930106932,0.69439345180194,0.714912245962687,"","IS110 family transposase",0
"GLOV_RS00040",332,0.0211,0.2157,121.73,0.489,0.5141,0.5217,0.244633508190168,0.504547687001219,0.504130651933775,"","cell division protein FtsZ",0
"GLOV_RS00045",294,0.1054,0.1112,126.72,0.4914,0.4948,0.4639,-0.728175292054276,-0.780052031832634,-0.576366887926781,"","hypothetical protein",0
"GLOV_RS00050",289,0.0727,0.1696,124.92,0.493,0.5106,0.5,1.0939166307023,1.0428478054631,1.23696606221824,"","hypothetical protein",0
"GLOV_RS00055",492,0.0976,-0.4589,132.6,0.5525,0.5924,0.4286,0.264115519538638,0.3139621916925,0.330253334805765,"","DUF2779 domain-containing protein",0
"GLOV_RS00060",208,0.0962,-0.1168,128.47,0.5291,0.5825,0.3529,-1.10546724432592,-0.64658802049288,-0.586497866979707,"","hypothetical protein",0
"GLOV_RS00065",77,0.039,-0.4117,129.34,0.2603,0.3699,0.5385,1.94142206280675,1.94029862085081,2.20311173765792,"","hypothetical protein",0
"GLOV_RS00070",503,0.0994,-0.3386,131.63,0.5434,0.5253,0.5094,1.03843153621262,0.969803299002272,0.93866513288348,"","IS21 family transposase",0
"GLOV_RS00075",253,0.0672,-0.2043,130.87,0.5749,0.5061,0.5,-0.27798607489257,-0.257000797110189,-0.186571614973071,"","ATPase",0
"GLOV_RS00080",274,0.1168,-0.4763,134.55,0.6395,0.4341,0.6026,1.08633649028149,1.24140719420909,1.23996993213069,"","IS3 family transposase",0
"GLOV_RS00085",100,0.06,-0.757,130.42,0.697,0.3737,0.4138,0.441242517156295,0.176132952826036,0.264827783203844,"","transposase",0
"GLOV_RS00090",67,0.1194,0.1567,127.35,0.5692,0.4769,0.4706,4.42974802183151,4.39216322270858,4.58607605405606,"","hypothetical protein",0
"GLOV_RS00095",421,0.0903,-0.1475,129.62,0.4583,0.4877,0.4921,1.21062571179885,1.06371336443221,1.22133265066331,"","MBL fold hydrolase",0
"GLOV_RS00100",277,0.0939,-0.5289,131.7,0.4164,0.5056,0.4831,0.875199451412198,0.820805053286802,0.794889893597356,"","hypothetical protein",0
"GLOV_RS00105",502,0.0837,-0.4492,133.19,0.4354,0.5188,0.4336,-0.0858318911506293,0.148502837721265,0.424564946535514,"","SMI1/KNR4 family protein",0
"GLOV_RS00110",331,0.0846,-0.2178,131.4,0.5253,0.5063,0.3827,0.0215613341956726,0.060871838738573,0.146352962829018,"","WYL domain-containing protein",0
"GLOV_RS00115",122,0.0738,-0.6303,132.03,0.4874,0.5378,0.32,-0.26225460337871,-0.63722438779357,-0.683438155229979,"","hypothetical protein",0
"GLOV_RS00120",317,0.0473,-0.0817,127.89,0.4551,0.484,0.4211,-1.16649708155169,-0.888122019800208,-0.795732920534957,"","DnaB domain-containing protein",0
"GLOV_RS00125",847,0.0567,-0.3227,130.13,0.7111,0.5435,0.4948,-0.205089157910712,-0.266564675920107,-0.393876837473421,"","DNA gyrase subunit A",0
"GLOV_RS00130",546,0.0861,-0.2432,132.61,0.6312,0.6027,0.4397,0.898209777935953,0.671901276273602,0.781432772171587,"","hypothetical protein",0
"GLOV_RS00135",332,0.0422,0.372,121.11,0.6375,0.5719,0.3495,0.209601620520899,0.252555836082873,0.170395383673463,"gpsA","glycerol-3-phosphate dehydrogenase (NAD(P)(+))",0
"GLOV_RS00140",270,0.0741,-0.437,128.1,0.6577,0.4885,0.3977,0.602438811159225,0.605876317715328,0.500772945188894,"","OmpA/MotB domain-containing protein",0
"GLOV_RS00145",248,0.0685,0.4165,123.85,0.6337,0.4609,0.4722,0.457541408817735,0.169728409730147,0.305238688718109,"","flagellar motor protein",0
"GLOV_RS18435",104,0.0577,-0.5202,135.13,0.6117,0.5243,0.4848,0.128883260372446,-0.19492463106427,-0.0562200374050894,"","flagellar FlbD family protein",0
"GLOV_RS00155",364,0.0549,0.0571,127.15,0.6875,0.5028,0.3445,-0.220329205580302,0.00861716372927955,-0.166278602715394,"","cobyrinic acid a,c-diamide synthase",0
"GLOV_RS00160",116,0.0776,-0.4052,132.17,0.6607,0.4464,0.4,0.83303044986317,0.582393222879489,0.803548557653625,"","PilZ domain-containing protein",0
"GLOV_RS00165",65,0.0308,-0.1908,128.11,0.6667,0.5714,0.375,-1.04920373394813,-1.23855056196838,-0.989190347562829,"","thiamine biosynthesis protein ThiS",0
"GLOV_RS00170",258,0.0426,0.2709,122.88,0.668,0.5547,0.5281,-1.47097286970482,-1.49475076866788,-1.53473913145316,"","thiazole synthase",0
"GLOV_RS00175",205,0.0634,0.2127,123.3,0.7094,0.6108,0.3651,-2.20497934609757,-2.21665810898318,-2.28951465615577,"","thiamine phosphate synthase",0
"GLOV_RS00180",317,0.0883,-0.2524,129.68,0.6431,0.5338,0.4231,-1.62466982010795,-1.60732767013018,-1.67715004536786,"","TIGR01212 family radical SAM protein",0
"GLOV_RS00185",281,0.0747,-0.7648,132.9,0.5576,0.4944,0.4384,0.427323120489723,0.382454918702949,0.250858129692141,"","phage antirepressor",0
"GLOV_RS00190",366,0.0601,0.0997,124.54,0.7291,0.5698,0.3621,-1.35905938058563,-1.69520652173132,-1.58777550955585,"","DUF362 domain-containing protein",0
"GLOV_RS00195",99,0.0606,0.2242,128.62,0.6146,0.5521,0.4583,0.559731397710649,0.393737844220487,0.546437705422379,"","hypothetical protein",0
"GLOV_RS00200",62,0.0806,-0.7565,137.14,0.55,0.6167,0.4444,1.6188852366867,1.15187606595355,1.97788652119231,"","hypothetical protein",0
"GLOV_RS00205",732,0.1038,-0.3796,128.92,0.6394,0.4718,0.4364,0.30452084934991,0.289426222511012,0.198361153014041,"","TonB-dependent receptor",0
"GLOV_RS00210",302,0.0828,0.0589,127.3,0.6445,0.5282,0.3505,-1.50769206799082,-1.34870542245713,-1.39658523278562,"","hypothetical protein",0
