"locus_tag","Laa","AROMA","GRAVY","MMW","GC3","GT3","P2","SCU1","SCU2","SCU3","gene","product","highlyExpressed"
"PPRO_RS00005",449,0.0913,-0.2423,131.92,0.7189,0.371,0.5746,0.70949105196652,-0.458876210628122,-0.807677041668209,"","chromosomal replication initiator protein DnaA",0
"PPRO_RS00010",372,0.078,-0.1288,130,0.7423,0.3221,0.5826,0.867909611621167,-0.717541971882737,-1.1347765128687,"","DNA polymerase III subunit beta",0
"PPRO_RS00015",374,0.0749,-0.4885,131.29,0.735,0.3989,0.4915,0.0967416179163093,0.218340381332237,0.399468333672717,"","DNA replication/repair protein RecF",0
"PPRO_RS00020",801,0.0699,-0.3559,130.01,0.8314,0.4381,0.5298,-0.807222837134847,-0.0174402318763729,0.234933829285262,"gyrB","DNA topoisomerase (ATP-hydrolyzing) subunit B",0
"PPRO_RS00025",842,0.057,-0.2963,130.2,0.8573,0.3985,0.4968,-1.43217741293559,0.663334623751723,0.89967535481923,"","DNA gyrase subunit A",0
"PPRO_RS00030",531,0.0753,-0.2034,131.01,0.8235,0.502,0.4072,-0.441048748851305,0.0677204226013385,0.0670610539913037,"","HEAT repeat domain-containing protein",0
"PPRO_RS00035",338,0.0473,0.2065,124.31,0.8677,0.4708,0.3826,-1.15006578787049,0.932548241291704,0.883054857063576,"gpsA","NAD(P)-dependent glycerol-3-phosphate dehydrogenase",0
"PPRO_RS00040",340,0.0912,-0.3985,133.9,0.5227,0.5227,0.42,1.44779625905603,-0.753752225003677,-0.41657591202656,"","hypothetical protein",0
"PPRO_RS00045",149,0.0805,0.0926,129.75,0.3241,0.5034,0.4889,2.77330831657465,-3.23623888260679,-3.2327139761222,"","death-on-curing family protein",0
"PPRO_RS00050",427,0.0445,-0.371,127.92,0.7451,0.5583,0.4043,0.212643779656415,-0.816363320638626,-0.81468877824206,"","DNA recombination protein RmuC",0
"PPRO_RS00055",157,0.0382,0.014,124,0.8421,0.5197,0.4706,-1.5422371277565,-0.0589508922672059,-0.436989799053719,"","2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase",0
"PPRO_RS00060",301,0.0831,-0.6243,126.79,0.8691,0.4329,0.514,-0.849983114469561,1.35148237744654,0.811922093366793,"","integrase",0
"PPRO_RS00065",468,0.0641,-0.0632,126.1,0.7965,0.4801,0.4052,-0.211568141666383,1.53839444461037,1.32377340023655,"hemG","protoporphyrinogen oxidase",0
"PPRO_RS00070",246,0.0854,-0.3565,132.67,0.7735,0.5214,0.5,0.145945695617603,0.138521579360902,-0.376498620756558,"","M48 family peptidase",0
"PPRO_RS00075",326,0.0828,-0.0374,126.61,0.8381,0.3587,0.4818,-1.09835415611804,-0.23961179683529,0.772286109891941,"","ketoacyl-ACP synthase III",0
"PPRO_RS00080",108,0.0463,0.8972,120.64,0.781,0.5048,0.5294,1.37042696160702,1.13247544740982,0.899948932456326,"","hypothetical protein",0
"PPRO_RS00085",265,0.083,-0.1143,127.28,0.7773,0.4141,0.3978,-0.293812564579863,1.59388375558231,1.80508391065324,"","inositol monophosphatase",0
"PPRO_RS00090",451,0.0687,-0.4749,129.23,0.644,0.4898,0.4113,0.0891963831904764,-1.25691977211281,-0.768008934648534,"","IS1182 family transposase",0
"PPRO_RS00095",93,0.1183,0.6527,132.06,0.764,0.3933,0.6389,0.938290078892634,-1.05585254224979,-0.849878456603408,"","YggT family protein",0
"PPRO_RS00100",149,0.0268,-0.7564,132.22,0.838,0.5211,0.4211,-0.608727380788217,2.10317117114437,1.44443080822112,"","DivIVA domain-containing protein",0
"PPRO_RS00105",102,0.0294,-0.1157,126.54,0.8627,0.4608,0.6071,-0.157506383155276,2.02545417020396,1.9488313394501,"","YggU family protein",0
"PPRO_RS00110",173,0.0347,-0.1798,123.61,0.7456,0.5089,0.4634,0.169154990594628,-0.3066028804718,-0.697490589143977,"","peptidylprolyl isomerase",0
"PPRO_RS00115",546,0.0623,-0.3418,123.26,0.729,0.4542,0.4142,1.09778072936443,-0.478966593970465,-1.18169491402369,"","DUF3426 domain-containing protein",0
"PPRO_RS00120",295,0.0983,-0.0919,129.28,0.7986,0.4028,0.4444,-1.08674940715964,1.70755237856842,1.42890101691942,"","TIGR02757 family protein",0
"PPRO_RS00125",67,0.0896,-0.6164,134.66,0.625,0.5625,0.4545,-0.566173422743929,-1.09863054951231,0.726355564583504,"","hypothetical protein",0
"PPRO_RS00130",340,0.1059,-0.3547,132.75,0.8369,0.4185,0.479,-0.477868980436824,0.186484322879479,0.221677410177467,"galT","galactose-1-phosphate uridylyltransferase",0
"PPRO_RS00135",730,0.1151,-0.2222,131.85,0.8598,0.392,0.5093,-0.830855112491625,1.05725084920563,1.08757230403369,"","glycoside hydrolase",0
"PPRO_RS00140",834,0.0851,-0.0785,129,0.8853,0.384,0.5429,-0.749628042292803,0.841922641258172,0.505598669969113,"","phosphoglucomutase",0
"PPRO_RS00145",125,0.064,-0.06,130.52,0.8211,0.4634,0.5,-0.520544543675373,0.510834211796373,0.871785485395003,"","response regulator",0
"PPRO_RS00150",532,0.0564,-0.1357,129.73,0.8015,0.4258,0.5183,0.0226852207606118,0.336893708485478,0.547818559341696,"","histidine kinase",0
"PPRO_RS00155",492,0.0996,-0.3681,129.82,0.8517,0.3686,0.5029,-0.741262617005002,0.487910227491744,0.304920125520556,"","cysteine--tRNA ligase",0
"PPRO_RS00160",498,0.0663,-0.242,127.78,0.8246,0.3152,0.4464,-0.361318483387829,-0.865087359487284,-0.556891697013788,"","oxaloacetate decarboxylase",0
"PPRO_RS00165",515,0.068,-0.0373,126,0.842,0.27,0.4752,-0.985471365126578,-0.636137566178174,0.200817836595289,"","acyl-CoA carboxylase subunit beta",0
"PPRO_RS00170",128,0.0234,0.2125,123.2,0.816,0.384,0.3611,-0.316531829365688,-0.248606150968012,0.358081983823805,"","acetyl-CoA carboxylase biotin carboxyl carrier protein subunit",0
"PPRO_RS00175",144,0.0556,0.9708,122.13,0.8971,0.4338,0.44,-2.38821919840953,-0.862704989719674,0.485043253808593,"","EamA-like transporter family protein",0
"PPRO_RS00180",423,0.0662,-0.2388,127.68,0.8435,0.4377,0.4286,-1.33516446048815,0.257083668115821,0.488252446071169,"","insulinase family protein",0
