Agca	Agcc	Agcg	Agct	Ctgc	Ctgt	Dgac	Dgat	Egaa	Egag	Fttc	Fttt	Ggga	Gggc	Gggg	Gggt	Hcac	Hcat	Iata	Iatc	Iatt	Kaaa	Kaag	Lcta	Lctc	Lctg	Lctt	Ltta	Lttg	Naac	Naat	Pcca	Pccc	Pccg	Pcct	Qcaa	Qcag	Raga	Ragg	Rcga	Rcgc	Rcgg	Rcgt	Sagc	Sagt	Stca	Stcc	Stcg	Stct	Taca	Tacc	Tacg	Tact	Vgta	Vgtc	Vgtg	Vgtt	Ytac	Ytat	Laa	aroma	gravy	mmw	gcc3	gtc3	Hgc3	Ew	P2	cai	start	end	direction	locus_tag	protein_id	gene	product	highlyExpressed	leading
7	10	4	5	3	0	12	11	24	12	16	5	4	6	0	5	3	7	12	18	16	34	16	2	9	7	10	2	5	13	15	1	4	3	5	2	13	4	5	0	6	0	0	6	4	2	9	8	3	2	17	1	6	3	8	4	7	6	7	444	0.0856	-0.3968	132.82	0.5221	0.4289	0.9986	0.8542	0.4964	0.7648	185	1522	direct	GEOB_RS00005	WP_012645108.1	dnaA	chromosomal replication initiator protein DnaA	0	1
6	11	1	3	2	0	8	15	22	13	10	7	4	9	4	2	1	4	11	14	14	20	12	1	9	7	5	2	6	11	10	1	9	1	2	0	4	3	7	1	1	1	2	12	4	4	7	2	2	5	8	2	3	6	7	5	6	5	3	371	0.0701	-0.1900	130.29	0.5294	0.4118	0.9975	0.8703	0.4336	0.7392	1736	2854	direct	GEOB_RS00010	WP_012645109.1		DNA polymerase III subunit beta	0	1
5	7	1	9	0	1	8	15	18	9	10	9	7	7	1	4	2	5	7	9	5	18	11	1	5	14	14	3	4	8	10	1	1	4	1	1	15	8	10	1	3	4	0	11	1	1	5	2	1	2	6	4	6	3	4	9	5	7	7	363	0.0992	-0.4485	134.00	0.5171	0.5171	0.9992	0.8411	0.4948	0.7445	2952	4046	direct	GEOB_RS00015	WP_012645110.1	recF	DNA replication/repair protein RecF	0	1
14	21	10	4	2	2	24	19	45	34	21	11	12	15	17	18	8	8	14	30	13	21	41	0	17	42	12	3	10	21	14	2	7	8	6	6	23	4	4	0	15	8	10	8	2	2	16	6	7	6	24	5	8	12	11	15	12	14	12	793	0.0744	-0.3579	130.42	0.6147	0.4910	0.9617	0.8905	0.5345	0.7631	4056	6440	direct	GEOB_RS00020	WP_012645111.1	gyrB	DNA topoisomerase (ATP-hydrolyzing) subunit B	0	1
6	37	10	5	0	3	32	26	44	35	17	4	6	28	17	12	9	8	5	55	12	21	36	2	16	39	18	0	1	19	11	3	5	14	5	1	21	1	7	2	19	17	13	0	0	3	21	8	5	4	29	7	9	5	27	21	15	16	11	855	0.0596	-0.2919	130.46	0.6841	0.4739	0.8999	0.7880	0.5279	0.8071	6492	9062	direct	GEOB_RS00025	WP_012645112.1	gyrA	DNA gyrase subunit A	0	1
14	20	5	5	5	3	12	22	36	15	9	13	6	13	8	10	7	3	5	11	10	7	8	0	13	34	15	0	12	3	8	1	7	11	3	2	11	4	8	6	14	10	5	5	8	4	8	3	4	2	9	5	0	5	8	9	6	5	10	519	0.0809	-0.1938	130.82	0.5703	0.5228	0.9857	0.8563	0.3493	0.7451	9107	10669	direct	GEOB_RS00030	WP_012645113.1		HEAT repeat domain-containing protein	0	1
8	15	9	7	0	1	6	6	14	10	4	6	5	10	10	4	1	2	5	3	8	9	7	1	5	17	12	0	3	6	5	2	3	4	3	1	8	2	4	0	9	6	1	2	2	0	8	4	1	3	11	7	1	3	9	12	7	5	4	334	0.0629	+0.0835	126.18	0.6168	0.5327	0.9603	0.8499	0.3548	0.7191	10727	11734	direct	GEOB_RS00035	WP_041267206.1		NAD(P)H-dependent glycerol-3-phosphate dehydrogenase	0	1
12	20	10	5	2	1	16	17	43	19	17	11	11	17	17	7	4	9	16	33	14	20	20	4	22	33	15	2	6	20	17	5	4	7	5	8	26	4	16	2	8	13	5	15	4	5	23	5	1	6	17	6	3	6	22	19	10	8	9	750	0.0667	-0.1223	130.28	0.6163	0.4571	0.9606	0.8724	0.5000	0.7300	11804	14059	direct	GEOB_RS00040	WP_012645115.1		HAMP domain-containing protein	0	1
12	18	12	7	1	3	15	20	21	24	8	8	9	11	6	6	3	6	9	15	13	9	14	1	6	29	13	2	4	9	4	1	3	12	2	6	20	7	11	1	3	10	4	9	2	2	10	4	3	1	10	6	4	8	7	13	11	6	1	515	0.0466	-0.1338	128.92	0.6040	0.5495	0.9685	0.8675	0.4831	0.7351	14049	15599	direct	GEOB_RS00045	WP_012645116.1		response regulator	0	1
16	21	10	10	3	0	14	16	37	22	15	8	9	11	11	7	6	7	6	16	8	14	16	2	11	32	17	1	12	7	8	2	3	4	3	9	16	7	16	1	14	8	5	12	3	4	10	8	1	5	13	5	7	4	18	9	8	10	8	610	0.0869	-0.2926	131.94	0.6024	0.4863	0.9695	0.8858	0.4740	0.7265	15618	17453	direct	GEOB_RS00050	WP_012645117.1		PAS domain S-box protein	0	1
3	16	1	1	3	0	11	7	12	9	4	10	1	10	4	6	4	6	1	12	4	3	6	1	6	22	6	1	3	8	5	2	4	5	0	1	9	1	2	0	10	9	3	5	2	2	5	2	3	4	13	2	0	0	2	10	7	5	3	308	0.0747	-0.1766	130.69	0.6801	0.4949	0.9042	0.7499	0.3861	0.7819	19574	20503	direct	GEOB_RS00060	WP_012645118.1		daunorubicin resistance protein DrrA family ABC transporter ATP-binding protein	0	1
4	15	2	3	1	2	5	1	6	3	11	7	2	11	5	0	3	0	1	18	8	2	3	0	8	13	2	0	1	2	2	0	5	4	3	1	4	1	3	0	4	5	0	4	0	1	7	1	1	2	12	2	1	5	11	5	3	6	5	250	0.1320	+0.7708	128.81	0.7342	0.3755	0.8354	0.7191	0.4300	0.7935	20515	21270	direct	GEOB_RS00065	WP_012645119.1		ABC transporter permease subunit	0	1
5	12	6	3	15	2	13	6	17	12	15	4	2	19	3	3	3	3	2	12	6	10	19	0	3	12	5	1	1	7	6	1	4	3	4	2	12	0	3	0	11	1	3	2	1	2	13	2	2	1	15	1	2	2	8	3	5	7	5	358	0.1006	-0.4028	130.78	0.6930	0.4035	0.8897	0.7595	0.4463	0.8355	21363	22442	direct	GEOB_RS00070	WP_012645120.1		radical SAM protein	0	1
0	16	5	5	5	0	8	12	11	8	7	5	6	15	3	3	5	2	1	14	5	8	11	0	9	14	6	1	2	7	5	1	8	10	4	3	8	0	1	0	6	6	3	2	0	0	5	1	0	5	12	1	1	2	8	15	6	6	3	338	0.0769	-0.0059	129.07	0.6899	0.4589	0.8933	0.7541	0.4375	0.8017	22574	23593	direct	GEOB_RS00075	WP_012645121.1		uroporphyrinogen decarboxylase	0	1
0	3	0	3	0	0	1	1	2	3	0	1	2	5	0	3	2	2	1	2	3	8	5	0	0	3	0	0	1	0	1	0	1	1	2	0	1	2	1	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	1	6	1	1	0	76	0.0263	-0.4526	126.32	0.5270	0.5270	0.9979	0.6776	0.4615	0.7797	23646	23879	direct	GEOB_RS00080	WP_012645122.1		hypothetical protein	0	1
5	12	4	4	1	0	2	3	3	3	6	1	0	8	2	1	2	4	1	6	4	4	1	2	9	6	8	0	3	2	2	0	0	2	1	2	3	0	4	0	1	0	2	2	1	2	1	1	0	1	2	0	1	0	6	7	3	0	4	166	0.1024	+0.7910	128.09	0.6194	0.4839	0.9585	0.7244	0.4074	0.7407	23978	24481	direct	GEOB_RS00085	WP_154650525.1		DUF2127 domain-containing protein	0	1
14	38	14	5	0	1	13	11	11	22	30	30	9	31	21	15	10	9	6	24	11	7	10	2	29	33	21	2	11	15	7	6	11	13	1	9	18	4	6	2	10	9	9	12	8	8	9	1	3	9	20	0	2	3	17	22	8	15	17	773	0.1565	+0.3129	130.95	0.6499	0.4734	0.9342	0.8198	0.4238	0.7369	24541	26865	direct	GEOB_RS00090	WP_012645124.1		nitric-oxide reductase large subunit	0	1
1	5	0	1	3	2	4	0	4	2	3	0	0	2	0	1	0	0	1	1	0	1	3	0	0	4	0	0	2	3	2	1	1	1	0	0	2	1	5	0	1	0	0	2	1	0	0	2	0	0	0	0	1	1	1	1	1	0	2	72	0.0694	-0.4458	131.12	0.6957	0.4783	0.8865	0.5512	0.4091	0.7917	26958	27179	direct	GEOB_RS00095	WP_012645125.1		hypothetical protein	0	1
9	13	4	6	5	2	8	10	14	10	5	4	6	8	3	7	0	3	3	6	4	5	10	2	7	25	9	0	4	6	1	2	6	5	1	3	5	0	2	1	5	8	2	5	4	3	5	2	0	1	8	2	2	3	6	9	1	2	4	298	0.0537	+0.0185	125.83	0.6216	0.5034	0.9569	0.8551	0.4375	0.7328	27233	28132	complement	GEOB_RS00100	WP_012645126.1		Hsp33 family molecular chaperone HslO	0	0
1	3	1	1	3	1	4	6	7	10	3	11	1	5	2	1	1	2	1	13	3	7	10	0	2	7	4	1	5	1	2	3	1	3	0	0	4	0	4	1	1	3	1	4	0	0	2	0	1	0	4	2	0	2	3	7	1	2	3	176	0.1080	+0.0102	134.47	0.6433	0.5556	0.9399	0.7725	0.4314	0.7676	28123	28656	complement	GEOB_RS00105	WP_012645127.1		hypothetical protein	0	0
11	49	12	12	9	1	19	17	33	19	30	15	10	25	8	7	9	9	1	29	9	21	28	3	15	37	20	0	7	13	10	6	10	7	6	9	20	2	9	2	22	14	6	10	2	5	27	4	7	8	24	6	3	5	18	23	8	11	7	789	0.0824	-0.1270	128.89	0.6684	0.4330	0.9166	0.8381	0.4368	0.7711	28689	31061	complement	GEOB_RS00110	WP_012645128.1		U32 family peptidase	0	0
8	17	6	6	1	4	12	17	24	19	9	5	4	15	9	6	4	4	8	15	11	7	16	0	8	27	9	2	5	7	10	5	6	6	3	1	19	0	11	0	6	16	2	7	2	0	5	5	2	1	14	3	3	3	15	8	4	6	7	477	0.0713	-0.2830	131.07	0.6527	0.5385	0.9316	0.8119	0.4122	0.7663	31207	32643	direct	GEOB_RS00115	WP_012645129.1		response regulator	0	1
4	11	2	0	3	1	4	3	7	5	6	1	1	6	3	1	0	1	1	3	1	9	9	0	4	3	5	0	1	2	1	1	2	1	1	2	5	2	1	1	3	1	0	2	1	1	3	1	1	2	4	2	2	4	1	3	2	0	3	156	0.0833	-0.4122	129.02	0.6067	0.4067	0.9669	0.7994	0.3171	0.7564	32648	33121	complement	GEOB_RS00120	WP_012645130.1		hypothetical protein	0	0
7	19	2	4	1	1	8	5	18	10	6	1	3	14	4	5	5	3	1	17	6	12	12	0	9	16	6	0	2	3	2	2	8	5	3	1	12	2	4	1	7	3	1	4	2	1	12	3	2	1	9	2	4	2	10	10	8	4	4	338	0.0444	-0.0828	126.57	0.6717	0.4316	0.9131	0.8015	0.4135	0.8028	33315	34334	complement	GEOB_RS00125	WP_012645131.1	aroF	3-deoxy-7-phosphoheptulonate synthase	0	0
3	13	3	4	0	0	5	3	6	8	3	1	5	13	8	3	0	3	1	10	7	14	19	0	3	7	6	0	3	6	5	2	5	5	1	2	11	1	2	0	1	0	1	2	2	2	2	4	1	2	5	3	1	2	14	6	4	4	3	258	0.0504	-0.2202	124.69	0.6600	0.4960	0.9248	0.8352	0.4000	0.7658	34752	35531	direct	GEOB_RS00130	WP_012645132.1		hypothetical protein	0	1
6	4	2	2	1	2	1	2	3	1	6	3	1	7	3	5	0	2	4	3	2	0	3	0	7	9	6	1	4	1	2	1	1	4	0	1	2	1	2	2	2	2	1	1	1	2	3	1	0	1	3	2	2	2	2	4	2	2	4	151	0.1391	+0.6298	128.82	0.5764	0.5208	0.9831	0.8143	0.4444	0.6900	35710	36168	direct	GEOB_RS00135	WP_012645133.1		DedA family protein	0	1
10	19	7	7	4	1	10	17	20	18	7	8	4	9	9	8	5	7	8	11	5	5	7	2	8	22	5	0	11	7	7	2	5	7	4	3	11	3	2	3	8	12	6	7	2	3	8	3	2	2	10	4	1	3	9	17	2	4	8	431	0.0696	-0.1974	129.27	0.6229	0.5251	0.9560	0.8759	0.4390	0.7247	36190	37488	direct	GEOB_RS00140	WP_012645134.1		insulinase family protein	0	1
0	11	3	1	1	0	3	1	7	6	1	1	1	2	5	0	3	5	2	6	2	3	2	0	0	5	4	0	3	2	0	0	3	2	0	2	5	0	3	0	4	0	1	1	0	1	1	0	0	1	2	0	0	0	3	6	1	3	1	126	0.0556	-0.1325	130.69	0.7167	0.4750	0.8600	0.6778	0.3684	0.7696	37491	37874	direct	GEOB_RS00145	WP_012645135.1		sirohydrochlorin cobaltochelatase	0	1
7	15	6	4	0	1	2	4	8	10	10	2	2	8	5	4	0	3	1	7	4	2	2	0	2	10	5	0	1	6	4	1	2	5	0	0	3	2	2	1	5	6	4	1	1	0	6	2	2	0	7	0	0	2	9	7	2	1	1	212	0.0755	+0.1028	125.63	0.6763	0.4831	0.9083	0.7730	0.4675	0.7796	37874	38515	direct	GEOB_RS00150	WP_012645136.1		precorrin-8X methylmutase	0	1
7	20	9	5	4	3	7	7	13	9	6	2	4	18	10	6	4	0	4	17	5	10	10	1	5	23	6	2	0	7	2	1	4	8	3	2	10	2	2	1	2	8	3	3	1	3	9	4	0	4	15	2	2	4	9	9	11	1	3	361	0.0416	+0.1917	123.11	0.6676	0.4631	0.9173	0.8158	0.4615	0.7521	38526	39614	direct	GEOB_RS00155	WP_012645137.1		cobalt-precorrin-5B (C(1))-methyltransferase	0	1
