Agca	Agcc	Agcg	Agct	Ctgc	Ctgt	Dgac	Dgat	Egaa	Egag	Fttc	Fttt	Ggga	Gggc	Gggg	Gggt	Hcac	Hcat	Iata	Iatc	Iatt	Kaaa	Kaag	Lcta	Lctc	Lctg	Lctt	Ltta	Lttg	Naac	Naat	Pcca	Pccc	Pccg	Pcct	Qcaa	Qcag	Raga	Ragg	Rcga	Rcgc	Rcgg	Rcgt	Sagc	Sagt	Stca	Stcc	Stcg	Stct	Taca	Tacc	Tacg	Tact	Vgta	Vgtc	Vgtg	Vgtt	Ytac	Ytat	Laa	aroma	gravy	mmw	gcc3	gtc3	Hgc3	Ew	P2	cai	start	end	direction	locus_tag	protein_id	gene	product	highlyExpressed	leading
2	25	8	0	4	1	21	5	10	22	18	5	4	9	7	1	7	4	1	25	2	11	28	0	25	16	6	0	1	14	5	3	6	5	1	2	17	1	3	0	12	7	1	9	0	1	9	8	0	1	23	3	2	0	7	16	5	7	3	449	0.0802	-0.3165	131.14	0.8246	0.4146	0.6699	0.6766	0.5000	0.8194	261	1613	direct	GMET_RS00005	WP_004513720.1		chromosomal replication initiator protein DnaA	0	1
0	23	8	1	2	1	14	4	16	25	16	1	3	7	7	3	3	2	0	29	1	2	26	0	15	14	3	0	0	12	1	0	9	6	2	0	3	0	1	1	3	13	0	7	1	0	10	4	1	0	16	3	1	1	11	17	2	7	1	372	0.0699	-0.0680	129.24	0.8663	0.4234	0.5675	0.5636	0.6034	0.8447	1837	2958	direct	GMET_RS00010	WP_004513721.1		DNA polymerase III subunit beta	0	1
1	19	12	1	0	0	13	6	6	19	14	2	8	10	11	1	9	2	1	13	2	1	11	0	21	20	4	1	1	9	2	0	5	6	2	2	9	0	2	0	13	21	2	5	2	2	4	4	0	0	16	4	2	1	8	12	3	7	2	364	0.0769	-0.2508	130.36	0.8418	0.4661	0.6300	0.6637	0.4712	0.7924	3041	4138	direct	GMET_RS00015	WP_004513722.1		DNA replication and repair protein RecF	0	1
2	39	15	3	2	1	40	7	12	58	25	6	8	23	25	11	12	4	1	45	10	10	41	0	42	36	6	0	0	28	3	0	11	13	0	0	24	1	3	2	10	32	2	6	1	3	29	3	0	0	29	10	4	2	19	28	4	22	4	794	0.0730	-0.2720	129.41	0.8623	0.4556	0.5782	0.6055	0.5620	0.8375	4149	6536	direct	GMET_RS00020	WP_004513723.1		DNA topoisomerase (ATP-hydrolyzing) subunit B	0	1
1	45	8	1	2	0	49	10	11	64	21	1	4	31	30	5	14	2	3	62	7	3	47	0	45	27	3	0	2	29	2	0	19	10	1	1	29	0	3	2	20	33	5	11	0	3	16	9	1	0	41	4	3	3	31	29	2	24	1	856	0.0572	-0.3356	129.93	0.9096	0.4084	0.4377	0.5102	0.5401	0.8591	6570	9143	direct	GMET_RS00025	WP_004513724.1		DNA gyrase subunit A	0	1
5	32	15	2	4	0	30	10	16	32	24	3	5	13	23	0	9	1	0	16	1	1	3	1	24	31	8	0	3	3	2	0	19	8	1	2	9	1	5	0	11	34	4	13	2	1	6	2	1	2	15	7	0	0	10	21	3	8	2	522	0.0939	-0.2161	130.41	0.8532	0.4623	0.6018	0.6441	0.4113	0.7903	9219	10790	direct	GMET_RS00030	WP_011365615.1		HEAT repeat domain-containing protein	0	1
5	5	3	5	6	1	7	9	20	9	13	1	3	11	4	5	3	6	1	9	6	16	11	3	7	18	6	0	8	10	7	10	3	9	3	6	9	3	4	5	9	8	3	4	3	7	4	2	3	7	7	4	3	1	13	4	8	9	3	388	0.0876	-0.5351	133.24	0.5726	0.4435	0.9847	0.8439	0.5588	0.6529	11025	12194	complement	GMET_RS00035	WP_011365616.1		IS481 family transposase ISGme9	0	0
5	26	11	5	3	0	9	4	4	17	5	2	3	13	18	1	1	0	0	8	1	1	11	0	24	12	6	0	0	8	1	1	7	5	1	0	10	0	0	0	7	11	1	4	1	0	6	2	1	1	17	5	0	1	17	13	1	3	2	334	0.0449	+0.2419	122.88	0.8639	0.4494	0.5739	0.5986	0.3516	0.8175	12343	13350	direct	GMET_RS00040	WP_004513773.1	gpsA	glycerol-3-phosphate dehydrogenase (NAD(P)(+))	0	1
4	42	9	7	4	4	31	11	23	42	22	6	10	18	32	3	9	4	2	35	6	7	22	0	41	24	11	1	5	19	6	0	19	6	4	2	21	0	7	2	14	33	7	12	0	5	17	7	0	3	30	11	2	4	26	31	6	13	2	762	0.0604	-0.1503	128.40	0.8091	0.4422	0.7033	0.7184	0.4933	0.7865	13386	15677	direct	GMET_RS00045	WP_004513774.1		PAS domain-containing sensor histidine kinase	0	1
1	41	11	1	4	0	22	10	13	35	13	1	3	15	17	1	7	1	0	20	9	1	15	1	31	26	4	0	0	9	2	2	10	11	1	2	9	1	2	2	16	22	0	11	1	0	9	3	1	0	17	3	3	1	9	25	4	6	2	507	0.0473	-0.0574	128.09	0.8604	0.4517	0.5833	0.6097	0.3469	0.8171	15674	17200	direct	GMET_RS00050	WP_004513775.1		hybrid sensor histidine kinase/response regulator	0	1
